iter	MultiRMSE
279	5.686785251
280	5.679546087
281	5.674502767
282	5.6644175
283	5.658835949
284	5.64726311
285	5.639547641
286	5.634572526
287	5.626622753
288	5.619326941
289	5.610400587
290	5.602755323
291	5.595751914
292	5.587207911
293	5.581151305
294	5.576882776
295	5.566229748
296	5.555961703
297	5.546365837
298	5.536670046
299	5.532363973
300	5.525432047
301	5.519539621
302	5.513673938
303	5.501557489
304	5.490762495
305	5.47915529
306	5.463241922
307	5.453259579
308	5.442744007
309	5.438145469
310	5.433599311
311	5.430932139
312	5.42374069
313	5.416096796
314	5.414418021
315	5.412300694
316	5.408884916
317	5.39481244
318	5.388884517
319	5.386455846
320	5.37693917
321	5.356418042
322	5.343288717
323	5.321127112
324	5.313921077
325	5.311103377
326	5.307948896
327	5.303443908
328	5.300123828
329	5.296136839
330	5.291843522
331	5.284802945
332	5.272385252
333	5.260655111
334	5.253016424
335	5.250326913
336	5.232117619
337	5.22801127
338	5.223085145
339	5.216684193
340	5.200019345
341	5.191580852
342	5.176616739
343	5.171024797
344	5.167709376
345	5.161885421
346	5.146478771
347	5.141513927
348	5.136540564
349	5.128425894
350	5.124403517
351	5.116499173
352	5.114019865
353	5.111802039
354	5.104513638
355	5.102113152
356	5.093172292
357	5.082400741
358	5.0789309
359	5.073873095
360	5.071453584
361	5.067171281
362	5.060096298
363	5.055848472
364	5.052345266
365	5.044919455
366	5.041324252
367	5.03777706
368	5.028192312
369	5.023485899
370	5.016214193
371	5.002326735
372	4.997162078
373	4.994178166
374	4.988858754
375	4.981824454
376	4.978469784
